feature_name,data_type,data_class,unique_values,minimum_value,maximum_value,mean_value
persoon_leeftijd_bij_onderzoek,double,numeric,49,18,67,49.43180924
persoon_geslacht_vrouw,double,numeric,2,0,1,0.4220508381
competentie_aansturen,integer,integer,3,0,2,0.2345164083
competentie_analyseren,integer,integer,4,0,3,0.2216101361
competentie_ethisch_en_integer_handelen,integer,integer,3,0,2,0.1210356496
competentie_formuleren_en_rapporteren,integer,integer,4,0,3,0.2049264185
competentie_gedrevenheid_en_ambitie_tonen,integer,integer,3,0,2,0.12811836
competentie_instructies_en_procedures_opvolgen,integer,integer,4,0,3,0.3270638231
competentie_kwaliteit_leveren,integer,integer,4,0,3,0.3465019281
competentie_leren,integer,integer,4,0,3,0.124498308
competentie_materialen_en_middelen_inzetten,integer,integer,3,0,2,0.2295585111
competentie_met_druk_en_tegenslag_omgaan,integer,integer,4,0,3,0.1669945699
competentie_omgaan_met_verandering_en_aanpassen,integer,integer,3,0,2,0.1651058472
competentie_onderzoeken,integer,integer,3,0,2,0.125600063
competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten,integer,integer,3,0,2,0.1344927992
competentie_other,integer,integer,15,0,15,0.871173369
competentie_overtuigen_en_beïnvloeden,integer,integer,4,0,3,0.2316833242
competentie_plannen_en_organiseren,integer,integer,4,0,3,0.2554497521
competentie_samenwerken_en_overleggen,integer,integer,4,0,3,0.3201385063
competentie_vakdeskundigheid_toepassen,integer,integer,4,0,3,0.4510112536
persoonlijke_eigenschappen_motivatie_opm,integer,integer,2,0,1,0.5390729519
persoonlijke_eigenschappen_flexibiliteit_opm,integer,integer,2,0,1,0.4879987409
persoonlijke_eigenschappen_doorzettingsvermogen_opm,integer,integer,2,0,1,0.3737310144
persoonlijke_eigenschappen_zelfstandigheid_opm,integer,integer,2,0,1,0.4659636421
persoonlijke_eigenschappen_initiatief_opm,integer,integer,2,0,1,0.4016683718
persoonlijke_eigenschappen_communicatie_opm,integer,integer,2,0,1,0.4983080192
persoonlijke_eigenschappen_presentatie_opm,integer,integer,2,0,1,0.4108758952
persoonlijke_eigenschappen_uiterlijke_verzorging_opm,integer,integer,2,0,1,0.4447155111
persoonlijke_eigenschappen_leergierigheid_opm,integer,integer,2,0,1,0.3068387503
persoonlijke_eigenschappen_houding_opm,integer,integer,2,0,1,0.4961832061
persoonlijke_eigenschappen_hobbies_sport,integer,integer,2,0,1,0.2554497521
persoonlijke_eigenschappen_opstelling,integer,integer,2,0,1,0.5914063115
persoonlijke_eigenschappen_overige_opmerkingen,integer,integer,2,0,1,0.1536161171
persoonlijke_eigenschappen_spreektaal_anders,integer,integer,2,0,1,0.3505941607
persoonlijke_eigenschappen_spreektaal,integer,integer,36,0,99,29.20028331
persoonlijke_eigenschappen_ind_regulier_arbeidsritme,integer,integer,2,0,1,0.1861965846
persoonlijke_eigenschappen_ind_buiten_kantoortijden,integer,integer,2,0,1,0.1215865271
persoonlijke_eigenschappen_ind_activering_traject,integer,integer,2,0,1,0.1146612104
persoonlijke_eigenschappen_uitstroom_verw_vlgs_klant,integer,integer,7,0,6,2.030455654
persoonlijke_eigenschappen_uitstroom_verw_vlgs_km,integer,integer,7,0,6,2.253088849
persoonlijke_eigenschappen_taaleis_voldaan,integer,integer,3,0,2,0.6734870544
persoonlijke_eigenschappen_taaleis_schrijfv_ok,integer,integer,2,0,1,0.2772487605
persoonlijke_eigenschappen_dagen_sinds_opvoer,integer,integer,1363,0,2389,453.8473282
persoonlijke_eigenschappen_dagen_sinds_taaleis,integer,integer,1318,0,1786,297.3566538
persoonlijke_eigenschappen_nl_spreken1,double,numeric,2,0,1,0.1784056032
persoonlijke_eigenschappen_nl_spreken2,double,numeric,2,0,1,0.3361139529
persoonlijke_eigenschappen_nl_spreken3,double,numeric,2,0,1,0.06327221217
persoonlijke_eigenschappen_nl_lezen3,double,numeric,2,0,1,0.07790981349
persoonlijke_eigenschappen_nl_lezen4,double,numeric,2,0,1,0.04068623593
persoonlijke_eigenschappen_nl_schrijven0,double,numeric,2,0,1,0.3627921618
persoonlijke_eigenschappen_nl_schrijven1,double,numeric,2,0,1,0.1333123475
persoonlijke_eigenschappen_nl_schrijven2,double,numeric,2,0,1,0.283544503
persoonlijke_eigenschappen_nl_schrijven3,double,numeric,2,0,1,0.0908947824
persoonlijke_eigenschappen_nl_schrijvenfalse,double,numeric,2,0,1,0.03690879043
persoonlijke_eigenschappen_nl_begrijpen3,double,numeric,2,0,1,0.06217045723
relatie_kind_huidige_aantal,integer,integer,9,0,8,0.4288974581
relatie_kind_heeft_kinderen,integer,integer,2,0,1,0.2234201621
relatie_kind_leeftijd_verschil_ouder_eerste_kind,double,numeric,48,0,59,9.689305107
relatie_kind_basisschool_kind,integer,integer,7,0,6,0.1546391753
relatie_kind_jongvolwassen,integer,integer,8,0,7,0.3540568191
relatie_kind_tiener,integer,integer,7,0,7,0.1624301566
relatie_kind_volwassen,integer,integer,10,0,12,0.1433855355
deelname_act_actueel_projecten_uniek,integer,integer,6,0,5,0.6180845203
deelname_act_hist_projecten_niet_gestart,integer,integer,13,0,12,1.314314945
deelname_act_reintegratieladder_ondersteunende_instrumenten,integer,integer,23,0,31,2.282836232
deelname_act_reintegratieladder_werk_re_integratie,integer,integer,32,0,36,3.086015582
afspraak_resultaat_ingevuld_uniek,integer,integer,14,0,13,2.91052176
afspraak_aantal_woorden,double,numeric,897,0,2647,177.165578
afspraak_laatstejaar_resultaat_ingevuld,integer,integer,20,0,20,1.573542142
afspraak_laatstejaar_resultaat_ingevuld_uniek,integer,integer,10,0,9,1.653576769
afspraak_laatstejaar_aantal_woorden,double,numeric,513,0,1460,55.34878413
afspraak_aanmelding_afgesloten,integer,integer,12,0,11,1.250255765
afspraak_afsprakenplan,integer,integer,12,0,11,0.7702053986
afspraak_controle_aankondiging_maatregel,integer,integer,7,0,6,0.181710868
afspraak_controle_verwijzing,integer,integer,7,0,6,0.1237113402
afspraak_deelname_compleet_uit_webapplicatie,integer,integer,11,0,10,0.519241363
afspraak_galo_gesprek,integer,integer,9,0,8,0.2620602817
afspraak_gespr__einde_zoekt___galo_gesprek_,integer,integer,7,0,7,0.1705359251
afspraak_inspanningsperiode,integer,integer,8,0,7,0.3453214764
afspraak_other,integer,integer,22,0,21,0.5640985284
